2483	¿Qué estás haciendo?
2497	No sé si tengo tiempo.
2529	¡No, no lo soy! ¡Lo eres tú!
2546	¿Entonces qué?
2755	¡Muchas gracias!
2759	¡Esto es una buena idea!
2781	¿Puedo hacer una pregunta?
2818	¡¿Cómo que no sabes?!
2842	Yo estoy de acuerdo.
2848	¡Déjame en paz!
2863	¡No te preocupes, sé feliz!
2939	Necesito tu ayuda.
2965	"Gracias." "De nada."
2980	No sé qué es peor.
136209	¡Feliz Año Nuevo!
180324	—Vamos —me dijo él.
180469	Una vida sin amor no tiene ningún sentido.
180721	¿Cuál es su nombre?
329768	Son las diez en punto.
329858	Parece que no queda dinero.
329893	Hoy no me viene bien.
329919	¿Quién es él?
329933	Él tiene unos 40 años.
330037	Mejor te llevo hasta tu casa en coche.
330055	Parece que ella viene.
330124	¿Puedo entrar?
330142	¿Por qué no vas en mi lugar?
330153	Ella no tiene con quién hablar.
330652	Sé que él hizo eso.
330665	Hoy me siento bien.
330981	¿Por qué dices eso?
331347	Eso es.
331442	No me gusta para nada.
331590	Esto es lo que quería.
336391	Lo necesito antes de mañana.
336540	Bueno. ¡Que te vaya bien!
336778	¿Qué hora tienes tú?
336798	Diga cuál le gustaría llevar.
336845	Esa niña no tiene madre.
337105	Ya voy.
338211	Déjame pensar un momento.
338654	No quiero comer fuera esta noche.
338677	Con esto queda todo dicho.
339020	Él siempre es así.
339038	¡Ven rápido!
339039	No tengo mucho dinero.
339054	Pienso hacerlo venir aquí pasado mañana.
339070	Él aún está en cama.
339091	¿Quién me ayuda?
339263	Por esa razón he venido aquí.
339362	Es lo que tú dices.
339363	¿Qué haces aquí?
339565	Es difícil hacerlo feliz.
339618	Yo hoy tengo muchas cosas que hacer.
339650	Ella no sabe nada sobre su familia.
339676	¿Sabes qué dijo ella?
339685	¿De verdad? ¿Por qué?
339846	Ella tiene siete hijos.
339908	Para mí la familia es más importante que el trabajo.
339917	Creo que es como él dice.
340016	Ella tenía que hablar con él.
340025	¿Qué tal mañana?
340212	Creo que ella sabe la verdad.
340236	¿Sabes quién es él?
340393	Hace diez años ella estaba allí.
340514	Él dijo poder hacerlo.
340521	Ella es dos años mayor que tú.
340655	Él decía la verdad.
340659	Él habla realmente bien.
341358	Él es fuerte.
341360	Él quiere un coche nuevo.
342341	Él ya no está aquí.
342367	Es difícil hablar con él.
342457	Lo siento de verdad.
342470	Ella tiene que estar al venir.
342663	Son 30 euros.
342679	¿Puedes en serio?
342750	Ella aún no ha venido.
342936	Necesito un favor.
342940	Dicen que él es un buen tipo.
342942	¿Por qué no puedes venir?
342974	Hay mucho trabajo que hacer.
343379	Dime la verdad.
343411	¿Quién crees que es él?
343490	No hay nada tan importante como el tiempo.
343553	No, ni un poco.
343555	Qué buen tiempo hace.
343556	No hay nada más qué decir.
343564	Oye, ¿sabes una cosa?
343568	¿Puedo ir con él?
343573	¿Qué crees que hizo él?
343625	Ella aún no sabe la verdad.
343641	Como usted sabe.
343724	¿Dónde están tus cosas?
343871	¡Vamos, ven conmigo!
343923	Ella no sale mucho.
344079	Parece que ella tiene muchos amigos.
344138	¿En serio?
344145	¿Puedes hacer lo mismo?
345155	¿Qué tal le va?
345162	Creo que es una buena idea.
345167	Ella parece muy feliz.
345180	Quiero que ella sea feliz.
345330	Él va en coche, ¿verdad?
345332	¿Sabes qué estoy haciendo?
345443	¿Quién será?
345501	Él todo lo hace bien.
345520	Un poco de agua, por favor.
345538	Eso no tiene nada que ver conmigo.
345607	No sé nada sobre ella.
345625	Eso dije yo.
345722	Yo no sabía eso.
345821	Sale cada 30 minutos.
345843	Ya no eres un niño.
346028	Sólo Dios lo sabe.
346040	Ahora no tengo ganas de comer.
346220	Él ya ha venido.
346243	¿Qué tal te va?
346420	Eso puede hacerlo hasta un niño.
346421	¿Has pasado un buen fin de semana?
346422	¿Pero cómo pueden ellos hacer esto?
346450	¿Qué tal el nuevo trabajo?
346602	No, estoy de acuerdo.
346604	¿Qué quieres tú?
346608	¿Qué te gustaría hacer hoy?
346615	¿Qué está haciendo él ahora?
